Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C7",CP_Elec_10x12.5,3,680uF_35V,
"C10, C9",CP_Radial_D18.0mm_P7.50mm,2,2200uF/35V,
"C11, C5, C6",CP_Elec_6.3x7.7,3,220uF_16V,
"C12, C13, C18, C22, C23, C24, C25, C4",C_0805,8,100nF,
C14,CP_Elec_8x11.9,1,470uF/25V,
C15,C_CASE-B-3528-21(mm),1,4.7uF/16V,
"C16, C26, C27",C_CASE-B-3528-21(mm),3,10uF_16V,
C17,C_0805,1,0.1uF/25V,
C19,CP_EIA-3216-18_Kemet-A,1,4.7uF/16V,
"C20, C21",C_0805,2,22pF,
C3,C_0805,1,470nF,
C8,C_Rect_L19.0mm_W6.0mm_P15.00mm_MKS4,1,145J400V,
D1,LED_D3.0mm,1,Blue,
"D10, D11, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D5, D6, D7",D_SMA,17,SM4001,
"D12, D2, D3",D_SMA,3,1N5824,
"D13, D14",D_SMA,2,1N5819,
"D15, D30",D_SMA,2,SM4007PL,
D16,LED_D3.0mm,1,Red,
"D17, D4",LED_D3.0mm,2,Green,
"D8, D9",Diode_Bridge_Vishay_GBU,2,GBU8M,
DZ1,D_SOD-123,1,CMZ12,
J1,TestPoint_Plated_Hole_D5.0mm,1,NEPA,
J10,TestPoint_Plated_Hole_D5.0mm,1,N,
J11,PinHeader_1x04_P2.54mm_Vertical,1,PZEM_SIG,
J14,PinHeader_1x04_P2.54mm_Vertical,1,USB_C Conn,
J15,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,TRANS 1-OUT,
J17,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,TRANS-IN,
J18,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,TRANS 2-OUT,
J19,PinHeader_1x12_P2.54mm_Vertical,1,DISPLAY,
J2,TestPoint_Plated_Hole_D5.0mm,1,INVERTER,
J20,TestPoint_Plated_Hole_D5.0mm,1,LOAD 6,
J21,TestPoint_Plated_Hole_D5.0mm,1,LOAD 5,
J22,TestPoint_Plated_Hole_D5.0mm,1,LOAD 4,
J23,TestPoint_Plated_Hole_D5.0mm,1,LOAD 3,
J24,TestPoint_Plated_Hole_D5.0mm,1,LOAD 2,
J25,TestPoint_Plated_Hole_D5.0mm,1,LOAD 1,
J3,PinHeader_1x02_P2.54mm_Vertical,1,CT,
J6,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,1,PZEM_LOAD,
"JP1, JP2",SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,2,~,
JP3,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,~,
K1,Relay_SPDT_Finder_36.11,1,10A RELAY,
"K10, K11, K12, K13, K2, K3, K4, K5, K6, K7, K8, K9",Relay_SPDT_RAYEX-L90,12,30A RELAY,
"L1, L2, L3",L_12x12mm_H6mm,3,33uH,
"OC1, OC2",SOP-4_4.4x2.6mm_P1.27mm,2,PC817XFP,
"Q1, Q2",SOT-363_SC-70-6,2,UMH3N,
"Q3, Q4",SOIC-18_W7.5mm,2,ULN2803ADWR,ULN2803ADWR
"R1, R2, R7",R_0805,3,680k,
"R10, R12, R15, R16, R17, R21, R22",R_0805,7,10k,
"R11, R19, R20, R6, R9",R_0805,5,330R,
R13,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1M,
R14,R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal,1,330R/2W,
R18,R_0805,1,150R,
R3,R_0805,1,100k,
"R4, R5, R8",R_0805,3,6.8k,
RV1,Potentiometer_Bourns_3296W_Vertical,1,10K,
SW1,SW_TS-1088-AR02016,1,RESET,
SW2,SW_TS-1088-AR02016,1,FLASH,
"TP14, TP4, TP7, TP8",TestPoint_Pad_D1.5mm,4,TestPoint,
U1,TO-263-5_L10.2-W8.9-P1.70-TL,1,LM2596S-3.3V,
U2,TO-263-5_L10.2-W8.9-P1.70-TL,1,LM2596S-12,
U3,ESP32-WROOM-32E,1,ESP32-WROOM,
U4,TO-263-5_L10.2-W8.9-P1.70-TL,1,LM2596S-5V,
U5,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,
U6,SOIC-24W_7.5x15.4mm_P1.27mm,1,PCA9555D,
U7,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
Y1,CRYSTAL-SMD_L11.5-W4.8-LS12.7,1,12MHz,
