Designator,Mid X,Mid Y,Rotation,Layer
C1,102.52,-32.91,270.0,top
C10,171.02222,-50.0,0.0,top
C11,211.78,-48.62,180.0,top
C12,160.9852,-56.6166,180.0,top
C13,161.229,-42.799,180.0,top
C14,237.59,-66.725,270.0,top
C15,192.9,-34.1,90.0,top
C16,209.6262,-38.862,180.0,top
C17,179.92,-70.84,0.0,bottom
C18,214.875,-28.0,0.0,top
C19,224.8675,-44.52,180.0,top
C2,186.3598,-53.5268,270.0,top
C20,216.02,-38.22,0.0,top
C21,215.33,-41.24,270.0,top
C22,218.79,-41.245,90.0,top
C23,85.675,-68.275,90.0,bottom
C24,85.675,-54.5,90.0,bottom
C25,226.39,-41.245,90.0,top
C26,129.5908,-86.2076,270.0,top
C27,125.9332,-86.2076,270.0,top
C3,242.665,-37.82,270.0,top
C4,246.094,-37.82,270.0,top
C5,190.4924,-64.0588,180.0,top
C6,128.87,-31.07,90.0,top
C7,147.0,-66.0,90.0,top
C8,56.35,-43.975,270.0,top
C9,151.02222,-50.0,0.0,top
D1,232.816,-28.05,0.0,top
D10,64.61,-32.35,0.0,top
D11,64.62,-27.93,0.0,top
D12,137.45,-67.05,270.0,top
D13,209.3,-42.67,180.0,top
D14,223.6675,-47.72,180.0,top
D15,221.4184,-66.9036,180.0,bottom
D16,245.98,-63.34,270.0,top
D17,245.98,-69.85,270.0,top
D18,220.1672,-79.1464,270.0,top
D19,188.225,-82.025,270.0,top
D2,185.71,-33.39,180.0,top
D20,158.175,-79.075,270.0,top
D21,128.075,-79.075,270.0,top
D22,98.375,-79.125,270.0,top
D23,67.8,-79.175,270.0,top
D24,218.95,-113.55,270.0,top
D25,188.325,-113.55,270.0,top
D26,158.425,-113.55,270.0,top
D27,128.25,-113.55,270.0,top
D28,98.025,-113.55,270.0,top
D29,67.8,-113.55,270.0,top
D3,133.88,-37.73,0.0,top
D30,221.488,-62.484,180.0,bottom
D4,238.086,-28.065,0.0,top
D5,211.55,-54.31,0.0,top
D6,73.06,-32.36,0.0,top
D7,73.08,-27.89,0.0,top
D8,154.315,-37.695,0.0,top
D9,177.795,-37.695,0.0,top
DZ1,231.45,-62.23,90.0,top
J15,144.193,-29.9225,180.0,top
J17,156.4,-29.9225,180.0,top
J18,168.607,-29.9225,180.0,top
L1,198.7804,-46.3042,90.0,top
L2,117.12,-33.24,90.0,top
L3,161.0,-65.75,90.0,top
OC1,135.42,-30.62,180.0,top
OC2,189.47,-72.88,0.0,top
Q1,188.35,-87.4125,180.0,top
Q2,222.565,-41.145,90.0,top
Q3,92.9,-50.175,180.0,bottom
Q4,92.9,-63.95,180.0,bottom
R1,216.0,-86.71,90.0,top
R10,239.236,-37.865,90.0,top
R11,246.065,-34.16,90.0,top
R12,239.265,-34.16,270.0,top
R13,56.388,-43.688,270.0,top
R14,76.27,-39.6,180.0,top
R15,179.9,-68.165,0.0,bottom
R16,179.9,-65.54,0.0,bottom
R17,185.095,-58.785,180.0,bottom
R18,139.57,-37.53,270.0,top
R19,231.24,-66.66,90.0,top
R2,191.516,-83.9768,90.0,top
R20,231.24,-70.61,270.0,top
R21,225.54,-51.19,180.0,top
R22,220.61,-51.18,0.0,top
R3,126.99,-37.53,180.0,top
R4,155.6,-85.71,270.0,top
R5,161.2,-85.69,270.0,top
R6,242.665,-34.16,90.0,top
R7,218.67,-86.7,90.0,top
R8,158.44,-85.71,270.0,top
R9,188.35,-91.15,0.0,top
RV1,185.88,-44.03,180.0,top
SW1,233.945,-37.45,0.0,top
SW2,233.945,-33.05,0.0,top
U1,177.025,-67.0,180.0,top
U2,87.745,-31.59,180.0,top
U3,242.265,-49.67,270.0,top
U4,201.09,-62.625,90.0,top
U5,199.235,-35.15,0.0,top
U6,189.925,-66.19,180.0,bottom
U7,224.305,-35.02,180.0,top
Y1,211.49,-34.21,0.0,top
